Package Name,post,N,A,Ce,Ca,I,D,PkgMod
com.sun.jdi,0,64,2.555555556,7,21,0.25,1.805555556,0.524662637
com.sun.jdi.connect,0,8,1.666666667,4,5,0.444444444,1.111111111,0.614318784
com.sun.jdi.connect.spi,0,3,2,2,2,0.5,1.5,1
com.sun.jdi.event,0,20,0,4,6,0.4,0.6,0.333333333
com.sun.jdi.request,0,18,8,3,9,0.25,7.25,0.466022344
org.apache.lucene.demo.html,1,10,0.111111111,3,1,0.75,0.138888889,0.315346803
org.eclipse.ant.core,4,11,0.222222222,11,13,0.458333333,0.319444444,0.768974501
org.eclipse.ant.internal.core,0,6,0.5,7,6,0.538461538,0.038461538,0.472953723
org.eclipse.ant.internal.core.ant,3,8,0,12,0,0,1,0.469669914
org.eclipse.ant.internal.ui.antsupport,2,7,0,6,2,0.75,0.25,0.688195218
org.eclipse.ant.internal.ui.antsupport.inputhandler,0,1,0,4,0,0,1,1
org.eclipse.ant.internal.ui.antsupport.logger,3,4,0,15,0,0,1,0.292893219
org.eclipse.ant.internal.ui.console,2,4,0,14,0,0,1,1
org.eclipse.ant.internal.ui.datatransfer,10,4,0,25,0,0,1,0.646446609
org.eclipse.ant.internal.ui.dtd,0,9,2,7,2,0.777777778,1.777777778,0.646446609
org.eclipse.ant.internal.ui.dtd.schema,0,11,0,7,1,0.875,0.125,0.696954237
org.eclipse.ant.internal.ui.dtd.util,0,10,0.666666667,4,1,0.8,0.466666667,0.76429774
org.eclipse.ant.internal.ui.editor,18,10,0.111111111,43,4,0.914893617,0.026004728,0.823223305
org.eclipse.ant.internal.ui.editor.derived,1,6,0.5,10,1,0.909090909,0.409090909,0.528595479
org.eclipse.ant.internal.ui.editor.formatter,3,6,0,15,3,0.833333333,0.166666667,0.717157288
org.eclipse.ant.internal.ui.editor.model,3,9,0.125,16,7,0.695652174,0.179347826,1
org.eclipse.ant.internal.ui.editor.outline,13,18,0.2,32,8,0.8,0,0.75256417
org.eclipse.ant.internal.ui.editor.templates,2,11,0,23,3,0.884615385,0.115384615,0.671808363
org.eclipse.ant.internal.ui.editor.text,10,25,0.19047619,29,6,0.828571429,0.019047619,0.59175171
org.eclipse.ant.internal.ui.editor.tools,1,1,0,9,0,0,1,1
org.eclipse.ant.internal.ui.editor.utils,5,2,0,8,1,0.888888889,0.111111111,1
org.eclipse.ant.internal.ui.launchConfigurations,8,34,0.03030303,49,7,0.875,0.09469697,0.929549554
org.eclipse.ant.internal.ui.model,3,10,0.428571429,29,16,0.644444444,0.073015873,0.867417479
org.eclipse.ant.internal.ui.preferences,5,38,0.1875,43,8,0.843137255,0.030637255,0.868238431
org.eclipse.ant.internal.ui.views,2,6,0,21,2,0.913043478,0.086956522,0.688195218
org.eclipse.ant.internal.ui.views.actions,2,11,0,36,2,0.947368421,0.052631579,0.578729142
org.eclipse.ant.internal.ui.views.elements,1,5,0.25,6,2,0.75,0,1
org.eclipse.compare,2,23,1.555555556,26,14,0.65,1.205555556,0.70686231
org.eclipse.compare.contentmergeviewer,2,5,4,30,6,0.833333333,3.833333333,1
org.eclipse.compare.internal,0,56,0.217391304,36,9,0.8,0.017391304,0.851546076
org.eclipse.compare.internal.merge,0,3,0,6,0,0,1,1
org.eclipse.compare.internal.patch,0,10,0,28,0,0,1,0.898984746
org.eclipse.compare.rangedifferencer,0,5,0.25,4,4,0.5,0.25,0.528595479
org.eclipse.compare.structuremergeviewer,0,13,1.6,16,12,0.571428571,1.171428571,0.693813782
org.eclipse.core.boot,0,3,2,8,12,0.4,1.4,0.587521044
org.eclipse.core.expressions,1,10,1.5,5,11,0.3125,0.8125,0.785254331
org.eclipse.core.filebuffers,0,11,10,7,16,0.304347826,9.304347826,0.575735931
org.eclipse.core.internal.boot,0,7,0.166666667,9,6,0.6,0.233333333,0.647233159
org.eclipse.core.internal.compatibility,1,1,0,7,0,0,1,1
org.eclipse.core.internal.content,2,11,0,13,3,0.8125,0.1875,0.622876383
org.eclipse.core.internal.dependencies,0,16,0.230769231,3,1,0.75,0.019230769,0.88214887
org.eclipse.core.internal.dtree,0,17,0.307692308,4,2,0.666666667,0.025641026,0.891214341
org.eclipse.core.internal.events,4,18,0.125,13,3,0.8125,0.0625,0.811438192
org.eclipse.core.internal.expressions,1,27,0.038461538,7,1,0.875,0.086538462,0.692562269
org.eclipse.core.internal.filebuffers,0,11,0.375,10,2,0.833333333,0.208333333,0.661184536
org.eclipse.core.internal.indexing,0,39,0.3,4,2,0.666666667,0.033333333,0.914290087
org.eclipse.core.internal.jobs,3,17,0.0625,7,4,0.636363636,0.301136364,0.473580235
org.eclipse.core.internal.localstore,1,22,0.222222222,9,1,0.9,0.122222222,0.76429774
org.eclipse.core.internal.model,0,5,0.25,11,2,0.846153846,0.096153846,0.387627564
org.eclipse.core.internal.plugins,1,10,0,14,4,0.777777778,0.222222222,0.5
org.eclipse.core.internal.preferences,12,11,0.1,10,6,0.625,0.275,0.688195218
org.eclipse.core.internal.properties,0,9,0.125,9,2,0.818181818,0.056818182,0.76429774
org.eclipse.core.internal.refresh,1,5,0,10,3,0.769230769,0.230769231,0.35192593
org.eclipse.core.internal.registry,6,18,0.125,14,1,0.933333333,0.058333333,0.858578644
org.eclipse.core.internal.resources,9,77,0.132352941,26,7,0.787878788,0.079768271,0.833239566
org.eclipse.core.internal.resources.refresh.win32,0,4,0,10,0,0,1,0.292893219
org.eclipse.core.internal.runtime,5,26,0,30,17,0.638297872,0.361702128,0.691371485
org.eclipse.core.internal.utils,2,13,0,9,9,0.5,0.5,0.882411053
org.eclipse.core.internal.variables,1,7,0.166666667,12,1,0.923076923,0.08974359,0.315346803
org.eclipse.core.internal.watson,0,17,0.7,6,3,0.666666667,0.366666667,0.802448412
org.eclipse.core.launcher,0,2,0,7,0,0,1,1
org.eclipse.core.resources,5,40,12.33333333,12,188,0.06,11.39333333,0.702881714
org.eclipse.core.resources.ant,1,4,0,8,0,0,1,0.292893219
org.eclipse.core.resources.refresh,0,3,0,2,2,0.5,0.5,0.646446609
org.eclipse.core.resources.team,1,4,3,6,5,0.545454545,2.545454545,0.307179677
org.eclipse.core.runtime,6,42,2.818181818,14,347,0.038781163,1.856962982,0.697515222
org.eclipse.core.runtime.adaptor,15,24,0.142857143,36,2,0.947368421,0.090225564,0.714084969
org.eclipse.core.runtime.adaptor.testsupport,0,3,0,5,0,0,1,0.292893219
