Package,post,N,A,Ce,Ca,I,D,MII,NC ,BCF , IC,AIC ,SAVI  ,PPI,APIUP,Package Name,PkgMod
com.ibm.oti.vm,0,1,0,1,1,0.5,0.5,0,0,1,1,0.997340426,0,0,0,com.ibm.oti.vm,0.292893219
com.sun.jdi,0,63,2.705882353,5,19,0.208333333,1.914215686,0.652173913,0.011673152,1,1,0.861702128,0,0,0.001687192,com.sun.jdi,0.534508801
com.sun.jdi.connect,0,7,2.5,4,5,0.444444444,1.944444444,0.333333333,0.153846154,1,1,0.992021277,0.095918367,0,0.12,com.sun.jdi.connect,0.614318784
com.sun.jdi.event,0,20,0,4,6,0.4,0.6,0.3,0,0,1,1,0,0.25,0.007739938,com.sun.jdi.event,0.333333333
com.sun.jdi.request,0,18,8,3,9,0.25,7.25,0.529411765,0,0,1,0.989361702,0,0.166666667,0.016472868,com.sun.jdi.request,0.466022344
org.eclipse.ant.core,13,2,0,7,5,0.583333333,0.416666667,0,0.357142857,1,0.5,0.984042553,0.3,0.090909091,0,org.eclipse.ant.core,0.307179677
org.eclipse.ant.internal.core,2,6,0.2,7,3,0.7,0.1,0,0.09375,1,1,0.97606383,0.111111111,0,0,org.eclipse.ant.internal.core,1
org.eclipse.ant.internal.core.ant,31,3,0,7,0,0,1,0.826086957,1,1,1,0.211111111,0.636363636,0,,org.eclipse.ant.internal.core.ant,0.646446609
org.eclipse.compare,1,19,1.375,25,10,0.714285714,1.089285714,0.037037037,0.5,0.948051948,0.727272727,0.872340426,0.036288089,0.625,0.036363636,org.eclipse.compare,0.653589838
org.eclipse.compare.contentmergeviewer,0,6,2,27,4,0.870967742,1.870967742,1,0.818181818,0.851851852,0.666666667,0.992021277,0.116374269,0.309278351,0,org.eclipse.compare.contentmergeviewer,1
org.eclipse.compare.internal,1,54,0.2,34,6,0.85,0.05,0,0.64628821,1,0.632653061,0.885638298,0,0,0.041666667,org.eclipse.compare.internal,0.680661454
org.eclipse.compare.internal.patch,1,12,0,29,0,0,1,1,1,0.666666667,1,0.056944444,0.4375,0,,org.eclipse.compare.internal.patch,0.92143258
org.eclipse.compare.rangedifferencer,0,5,0.25,4,1,0.8,0.05,0,0.315789474,1,1,0.5,0.132,0.230769231,0.25,org.eclipse.compare.rangedifferencer,0.528595479
org.eclipse.compare.structuremergeviewer,0,13,1.6,16,10,0.615384615,1.215384615,0.176470588,0.46,0.942176871,0.857142857,0.92287234,0.05443787,0.375,0.027777778,org.eclipse.compare.structuremergeviewer,0.646446609
org.eclipse.core.boot,0,3,2,4,18,0.181818182,1.181818182,0.527777778,0.12,1,1,0,0.266136163,0,0.22,org.eclipse.core.boot,0.72501403
