PackageName,post,N,A,Ce,Ca,I,D,PkgMod,Package,MII,NC,APIUP,Package ,SLOC ,IC,AC,BCF,PPI,SAVI,CUM,CUL
com.sun.jdi,0,63,2.705882353,5,20,0.2,1.905882353,0.529923174,com.sun.jdi,0.586666667,,0.002046703,com.sun.jdi,562,1,0.87587822,1,0,0,0.356789172,0.715799929
com.sun.jdi.connect,1,7,2.5,4,5,0.444444444,1.944444444,0.614318784,com.sun.jdi.connect,0.4,0.25,0.083333333,com.sun.jdi.connect,98,1,0.992974239,1,0,0.095918367,1,0.933333333
com.sun.jdi.event,0,20,0,4,6,0.4,0.6,0.333333333,com.sun.jdi.event,0.3,,0.007739938,com.sun.jdi.event,116,1,1,0,0.25,0,0,0
com.sun.jdi.request,1,18,8,3,9,0.25,7.25,0.466022344,com.sun.jdi.request,0.676470588,0,0.016472868,com.sun.jdi.request,175,1,0.990632319,0,0.166666667,0,0,0.785714286
org.apache.lucene.demo.html,0,9,0.125,3,1,0.75,0.125,0.315346803,org.apache.lucene.demo.html,0,0.333333333,0,org.apache.lucene.demo.html,2908,1,0.99765808,1,0,0.095308642,0.453750074,0.446512871
org.eclipse.ant.core,6,9,0,10,10,0.5,0.5,0.675962965,org.eclipse.ant.core,0,0,0,org.eclipse.ant.core,1184,0.666666667,0.941451991,1,0,0,0.413818115,0.374653659
org.eclipse.ant.internal.core,2,4,1,4,3,0.571428571,0.571428571,0.76429774,org.eclipse.ant.internal.core,0,0,0,org.eclipse.ant.internal.core,128,0.666666667,0.666666667,1,0,0.2,0.620204103,0.614361927
org.eclipse.ant.internal.core.ant,3,6,0,11,0,0,1,0.469669914,org.eclipse.ant.internal.core.ant,,1,0,org.eclipse.ant.internal.core.ant,738,0.833333333,1,1,0.583333333,0.111111111,0.448495029,0.585971175
org.eclipse.compare,2,20,1.222222222,25,10,0.714285714,0.936507937,0.653589838,org.eclipse.compare,0.037735849,0.875,0.036363636,org.eclipse.compare,2097,0.666666667,0.887587822,0.957317073,0.625,0.0345,0.575864984,0.470859367
org.eclipse.compare.contentmergeviewer,1,6,2,28,4,0.875,1.875,1,org.eclipse.compare.contentmergeviewer,1,0,0.005434783,org.eclipse.compare.contentmergeviewer,3728,0.666666667,0.992974239,0.851851852,0.301886792,0.114559387,0.566769953,0.483687672
org.eclipse.compare.internal,7,54,0.227272727,35,7,0.833333333,0.060606061,0.770323764,org.eclipse.compare.internal,0,,0.041666667,org.eclipse.compare.internal,4745,0.645833333,0.901639344,1,0,0,0.43612071,0.455467033
org.eclipse.compare.internal.patch,1,10,0,29,0,0,1,0.898984746,org.eclipse.compare.internal.patch,,0.6,0,org.eclipse.compare.internal.patch,2194,0.7,1,1,0.444444444,0.068,0.527661589,0.45868659
org.eclipse.compare.rangedifferencer,0,5,0.25,4,2,0.666666667,0.083333333,0.528595479,org.eclipse.compare.rangedifferencer,0,0.090909091,0.25,org.eclipse.compare.rangedifferencer,417,1,0.5,1,0.230769231,0.132,0.663238871,0.496937688
org.eclipse.compare.structuremergeviewer,0,13,1.6,16,10,0.615384615,1.215384615,0.646446609,org.eclipse.compare.structuremergeviewer,0.181818182,0.333333333,0.027777778,org.eclipse.compare.structuremergeviewer,1363,0.857142857,0.932084309,0.939285714,0.375,0.05443787,0.685366717,0.602134002
org.eclipse.core.boot,0,3,2,4,32,0.111111111,1.111111111,0.602252436,org.eclipse.core.boot,0.487179487,0,0.416666667,org.eclipse.core.boot,184,1,0,1,0,0.265965732,1,1
org.eclipse.core.internal.boot,2,16,0.142857143,8,7,0.533333333,0.323809524,0.659517948,org.eclipse.core.internal.boot,0,0.333333333,0.25,org.eclipse.core.internal.boot,4501,0.992974239,0.5,0.958333333,0.142857143,0.04296875,0.443005913,0.351292725
org.eclipse.core.internal.dtree,0,17,0.307692308,4,2,0.666666667,0.025641026,0.891214341,org.eclipse.core.internal.dtree,0.058823529,1,0.006578947,org.eclipse.core.internal.dtree,1944,1,0.666666667,1,0,0,0.508400303,0.467860989
org.eclipse.core.internal.events,1,17,0.133333333,10,4,0.714285714,0.152380952,0.736476862,org.eclipse.core.internal.events,0.043478261,0.777777778,0.125,org.eclipse.core.internal.events,2180,0.8125,0.969555035,0.9375,0,0.040484429,0.543197262,0.486736977
org.eclipse.core.internal.indexing,0,39,0.3,4,2,0.666666667,0.033333333,0.914290087,org.eclipse.core.internal.indexing,0,0.333333333,0,org.eclipse.core.internal.indexing,3599,1,0.918918919,1,0.333333333,0.017685733,0.465519255,0.445335926
org.eclipse.core.internal.localstore,2,22,0.222222222,9,1,0.9,0.122222222,0.76429774,org.eclipse.core.internal.localstore,0,0.941176471,0,org.eclipse.core.internal.localstore,2826,1,0.981264637,1,0.055555556,0.031404959,0.596109956,0.512722224
org.eclipse.core.internal.plugins,5,20,0.111111111,13,6,0.684210526,0.204678363,0.864017927,org.eclipse.core.internal.plugins,0,0.909090909,0,org.eclipse.core.internal.plugins,5761,0.277777778,0.967213115,1,0,0,0.513727212,0.43794238
org.eclipse.core.internal.properties,0,9,0.125,9,2,0.818181818,0.056818182,0.76429774,org.eclipse.core.internal.properties,0,1,0,org.eclipse.core.internal.properties,827,1,0.990632319,1,0,0,0.567004316,0.522754946
org.eclipse.core.internal.resources,3,70,0.129032258,18,5,0.782608696,0.088359046,0.890909091,org.eclipse.core.internal.resources,0,0.666666667,0.055555556,org.eclipse.core.internal.resources,12008,0.878787879,0.901639344,0.999786598,0.2,0.009959184,0.442672402,0.397062416
org.eclipse.core.internal.runtime,1,20,0,11,8,0.578947368,0.421052632,0.654983171,org.eclipse.core.internal.runtime,0,0.444444444,0,org.eclipse.core.internal.runtime,2522,0.9,0.946135831,1,0.5,0,0.453354859,0.412380859
org.eclipse.core.internal.utils,0,12,0.090909091,9,8,0.529411765,0.379679144,0.846906891,org.eclipse.core.internal.utils,0,0.2,0,org.eclipse.core.internal.utils,943,1,0.166666667,1,0,0.056944444,0.510095666,0.486153081
org.eclipse.core.internal.watson,0,17,0.7,6,3,0.666666667,0.366666667,0.802448412,org.eclipse.core.internal.watson,0.0625,,0.027777778,org.eclipse.core.internal.watson,1096,1,0.988290398,1,0,0,0.450456922,0.46660792
org.eclipse.core.launcher,0,2,0,7,0,0,1,1,org.eclipse.core.launcher,,1,0,org.eclipse.core.launcher,1023,1,1,1,0,0.3,0.552631579,0.578857143
org.eclipse.core.resources,1,36,17,8,164,0.046511628,16.04651163,0.729091751,org.eclipse.core.resources,0.505791506,0,0.001296815,org.eclipse.core.resources,706,0.333333333,0.718969555,0.696969697,0,0.019290123,0.786061231,0.719888627
org.eclipse.core.resources.ant,0,4,0,8,0,0,1,0.292893219,org.eclipse.core.resources.ant,,0.6,0,org.eclipse.core.resources.ant,217,0.5,1,1,0.666666667,0.175,0.727714257,0.781559564
org.eclipse.core.resources.team,0,3,0,3,5,0.375,0.625,0.35192593,org.eclipse.core.resources.team,1.888888889,0,0.051470588,org.eclipse.core.resources.team,102,0.99765808,0.995316159,0,0.5,0,1,1
org.eclipse.core.runtime,0,31,1.818181818,9,242,0.035856574,0.854038392,0.664301703,org.eclipse.core.runtime,0.251207729,0.006666667,0.007352941,org.eclipse.core.runtime,2089,0.861826698,0.642857143,0.931530008,0,0.020757951,0.511263555,0.450394805
org.eclipse.core.runtime.model,2,13,0.181818182,6,9,0.4,0.418181818,0.705372175,org.eclipse.core.runtime.model,0,0.666666667,0,org.eclipse.core.runtime.model,744,0.976580796,0.076923077,0.940559441,0,0.052662722,0.65383557,0.554621702
org.eclipse.debug.core,2,22,4.5,8,37,0.177777778,3.677777778,0.488946442,org.eclipse.debug.core,0.242990654,0.954545455,0.005387205,org.eclipse.debug.core,961,0,0.833723653,1,0.777777778,0.031404959,0.541906749,0.574969678
org.eclipse.debug.core.model,0,28,0,7,30,0.189189189,0.810810811,0.632388237,org.eclipse.debug.core.model,0.085365854,1,0.003149867,org.eclipse.debug.core.model,377,0.5,0.99765808,0.5,1,0,0.583333333,0.605504587
org.eclipse.debug.internal.core,3,15,0,11,4,0.733333333,0.266666667,0.482930265,org.eclipse.debug.internal.core,0,1,0,org.eclipse.debug.internal.core,3167,0.8,0.978922717,1,0.6,0.045777778,0.514510701,0.477942839
org.eclipse.debug.internal.ui,3,20,0.176470588,32,10,0.761904762,0.06162465,0.646446609,org.eclipse.debug.internal.ui,0,1,0,org.eclipse.debug.internal.ui,1660,0.882352941,0.932084309,1,1,0,0.480189339,0.485037887
org.eclipse.debug.internal.ui.actions,0,57,0.1875,31,4,0.885714286,0.073214286,0.631674627,org.eclipse.debug.internal.ui.actions,0,1,0,org.eclipse.debug.internal.ui.actions,2525,0.877192982,0.967213115,1,0.166666667,0.012219144,0.536126049,0.524034401
org.eclipse.debug.internal.ui.launchConfigurations,2,23,0.045454545,35,4,0.897435897,0.057109557,0.811438192,org.eclipse.debug.internal.ui.launchConfigurations,0,0.428571429,0,org.eclipse.debug.internal.ui.launchConfigurations,3793,0.739130435,0.955503513,1,0.636363636,0,0.400061366,0.388516186
org.eclipse.debug.internal.ui.preferences,2,15,0.071428571,25,6,0.806451613,0.122119816,0.703672618,org.eclipse.debug.internal.ui.preferences,0,1,0,org.eclipse.debug.internal.ui.preferences,1738,0.357142857,0.995316159,1,0.4,0,0.489065812,0.467341802
org.eclipse.debug.internal.ui.views,0,5,1.5,7,5,0.583333333,1.083333333,0.307179677,org.eclipse.debug.internal.ui.views,0,0.5,0.25,org.eclipse.debug.internal.ui.views,191,0.75,0.969555035,0.75,0,0.132,0.493780132,0.535725887
org.eclipse.debug.internal.ui.views.breakpoints,0,4,0,13,0,0,1,0.646446609,org.eclipse.debug.internal.ui.views.breakpoints,,1,0,org.eclipse.debug.internal.ui.views.breakpoints,236,0.5,1,1,1,0.1625,0.65630682,0.681282612
org.eclipse.debug.internal.ui.views.console,2,19,0.055555556,30,2,0.9375,0.006944444,1,org.eclipse.debug.internal.ui.views.console,0,0.5,0,org.eclipse.debug.internal.ui.views.console,2200,0.368421053,0.992974239,1,0.166666667,0.036288089,0.452735671,0.404258656
org.eclipse.debug.internal.ui.views.expression,3,3,0,12,0,0,1,1,org.eclipse.debug.internal.ui.views.expression,,1,0,org.eclipse.debug.internal.ui.views.expression,221,0,1,1,0.666666667,0,0.710102051,0.77489793
